題目,選項A,選項B,選項C,選項D,正確答案
社會信用系統可能侵犯哪項基本人權？,宗教自由,隱私權,結社自由,受教育權,B
人臉辨識技術在公共場所的普及可能導致何種倫理爭議？,提高犯罪率,加速經濟發展,弱化隱私權保護,改善交通效率,C
網路審查制度最直接衝擊哪項公民權利？,資訊獲取權,就業平等權,文化表達自由,醫療保障權,A
人工智慧用於大規模監控可能引發哪種社會問題？,降低政府效率,加劇言論自我審查,促進國際交流,減少能源消耗,B
隱私權倡議者反對個人資訊收集的主要理由是？,增加企業營收,可能導致資料濫用與監控,提高產品品質,便利消費者生活,B
人臉辨識技術在公共場所的爭議性主要來源是？,提升犯罪偵查效率,可能侵犯隱私權與監控過度,減少排隊時間,促進商業營運,B
網路審查制度的核心問題是？,保護未成年使用網路,政府控制言論自由與資訊流向,防止網路詐騙,優化使用網路速度,B
人工智慧用於大規模監控的倫理爭議在於？,提高公共安全,可能導致集權政府箝制民意,降低執法成本,促進科技發展,B
隱私權與科技發展的衝突中最敏感的議題是？,使用網路服務需同意隱私權條款,政府或企業濫用個人資料進行監控,使用網路匿名功能,使用網路加密技術,B
社會信用系統如何影響經濟活動？,提高企業競爭力,根據信用評分限制個人貸款或旅行自由,降低通脹率,促進國際貿易,B
資訊監控在政治領域的倫理問題主要在於？,提升政策執行效率,侵犯公民表達意見的自由,減少政府行政負擔,增強國防安全,B
人工智慧在政治宣傳中的應用可能導致？,提高選舉透明度,操控公共意見與集體思維,促進多元觀點交流,減少選舉舞弊,B
網路審查常利用的技術手段是？,人工審查員,人工智慧即時過濾敏感內容,使用者自願篩選,公開透明的審查標準,B
隱私權與公共安全的權衡中，最爭議的觀點是？,監控技術有助預防犯罪,政府可能以安全為名擴張監控權力,監控數據完全匿名化,公民應無條件支持監控措施,B
在隱私權爭議中，哪項技術因大規模人臉辨識應用而引起國際爭議？,深度學習模型,5G通訊協定,生物特徵辨識,人工智慧客服,C
